| Title                                                                      | English Title                                                                       | Year    | Status        | Personal Rating | Online Rating | Sub Type    | Type  | Actors                                                     | Alternate Titles                                                                                                                                                                                                                                                                               | Data Source | Date Completed | Date Started | Director            | Duration      | Episodes | Favorite | Franchise                              | Genres                                                   | Id         | Image                                                                                                                                   | Last Watched | Plot                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | Premiere   | Prequel | Released | Rewatch Count | Sequel | Streaming Services               | Studio                 | Tags                                                                                         | Url                                                                                                             | Watched | Writer                                             |
| Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna                | Re:ZERO -Starting Life in Another World- The Frozen Bond                            |   2019  |   Completed   |      ★ 4/10     |     ★ 7.58    | anime-movie | movie | -                                                          | Re:Zero kara Hajimeru Isekai Seikatsu OVA 2, Re:ZERO -Starting Life in Another World- The Frozen Bond, Re：ゼロから始める異世界生活『氷結の絆』, Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna                                                                                                      | MALAPI      |       -        |      -       | -                   |  1 hr 16 min  |    1     |  false   | [[Re:ZERO Franchise]]                  | Drama, Fantasy, Suspense                                 |   38414    | https://cdn.myanimelist.net/images/anime/1238/104023.jpg                                                                                |      -       | Covered in ice and snow, Elior Forest is the home to dangerous magical beasts and 50 elves frozen in ice. One day, the great spirit Puck helps a young girl break out of her ice prison. Her name is Emilia, a half-elf born with silver hair, long ears, and amethyst eyes—features that resemble the evil Witch who destroyed half the world long ago. Shunned by society because of her appearance, Emilia dwells in the forest with Puck as her sole companion and family. Burdened with a sin of destruction she does not remember committing, she spends her days trying to find a way to help her frozen kin. But when the great spirit Melakuera, the Arbitrator of the world, finds Emilia, her right to stay alive is brought into question. Will the bonds of ice she formed with Puck prove to be the warm thread that defies fate? [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                                                                                              | 11/8/2019  | -       |   true   |       0       | -      | Crunchyroll                      | White Fox              | genre/Drama, genre/Fantasy, genre/Suspense                                                   | https://myanimelist.net/anime/38414/Re_-Zero_kara_Hajimeru_Isekai_Seikatsu_-_Hyouketsu_no_Kizuna                |   true  | -                                                  |
| Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna - Manner Movie | Re:ZERO -Starting Life in Another World- The Frozen Bond: Manner Movie              |   2019  |   Completed   |      ★ 3/10     |     ★ 7.58    | anime-movie | movie | -                                                          | Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna - Manner Movie, Re:ZERO: Starting Life in Another World - Frozen Bonds - Manner Movie, Re:ZERO -Starting Life in Another World- The Frozen Bond: Manner Movie, Re:ゼロから始める異世界生活 氷結の絆 マナームービー                                        | MALAPI      |       -        |      -       | -                   |     3 min     |    1     |  false   | [[Re:ZERO Franchise]]                  | Fantasy                                                  |   41590    | https://cdn.myanimelist.net/images/anime/1599/106827.jpg                                                                                |      -       | A manner movie shown before Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 11/8/2019  | -       |   true   |       0       | -      | -                                | Studio PuYUKAI         | genre/Fantasy                                                                                | https://myanimelist.net/anime/41590/Re_-Zero_kara_Hajimeru_Isekai_Seikatsu_-_Hyouketsu_no_Kizuna_-_Manner_Movie |   true  | -                                                  |
| Sekiro: No Defeat                                                          | Sekiro: No Defeat                                                                   |   2026  | Plan to Watch |        -        |       -       | anime-movie | movie | -                                                          | Sekiro: No Defeat, SEKIRO: NO DEFEAT                                                                                                                                                                                                                                                           | MALAPI      |       -        |      -       | -                   |    Unknown    |    1     |  false   | -                                      | Action                                                   |   62312    | https://cdn.myanimelist.net/images/anime/1944/157379.jpg                                                                                |      -       | The time is Sengoku. Japan is fractured into many independent nations entangled in ceaseless war. At the center lies Ashina, a land of sacred earth and ancient mystery. Two decades after Sword Saint Isshin Ashina reclaimed the region in a brutal coup, a new threat emerges from within: The Interior Ministry. Desperate to protect his homeland, Isshin's grandson Gen'ichirou turns to forbidden powers. The only hope lies in a kidnapped boy—the Divine Heir—and his silent protector: a loyal shinobi known only as Sekiro. This is the story of a lord and his retainer—and their quest to restore balance to a nation on the edge. (Source: Crunchyroll)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |  9/4/2026  | -       |   true   |       0       | -      | -                                | Qzil.la                | genre/Action                                                                                 | https://myanimelist.net/anime/62312/Sekiro_-_No_Defeat                                                          |  false  | -                                                  |
| Sen to Chihiro no Kamikakushi                                              | Spirited Away                                                                       |   2001  |   Completed   |      ★ 9/10     |     ★ 8.77    | anime-movie | movie | -                                                          | 千と千尋の神隠し, Sen and Chihiro's Spiriting Away, Sen to Chihiro no Kamikakushi, Spirited Away                                                                                                                                                                                                       | MALAPI      |       -        |      -       | -                   |   2 hr 4 min  |    1     |  false   | -                                      | Adventure, Award Winning, Fantasy                        |    199     | https://cdn.myanimelist.net/images/anime/6/79597.jpg                                                                                    |      -       | Stubborn, spoiled, and naïve, 10-year-old Chihiro Ogino is less than pleased when she and her parents discover an abandoned amusement park on the way to their new house. Cautiously venturing inside, she realizes that there is more to this place than meets the eye, as strange things begin to happen once dusk falls. Ghostly apparitions and food that turns her parents into pigs are just the start—Chihiro has unwittingly crossed over into the spirit world. Now trapped, she must summon the courage to live and work amongst spirits, with the help of the enigmatic Haku and the cast of unique characters she meets along the way. Vivid and intriguing, Sen to Chihiro no Kamikakushi tells the story of Chihiro's journey through an unfamiliar world as she strives to save her parents and return home. [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                                                                                                                  | 7/20/2001  | -       |   true   |       0       | -      | Netflix                          | Studio Ghibli          | genre/Adventure, genre/Award-Winning, genre/Fantasy                                          | https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi                                                 |   true  | -                                                  |
| Steins;Gate Movie: Fuka Ryouiki no Déjà vu                                 | Steins;Gate: The Movie - Load Region of Déjà Vu                                     |   2013  |   Completed   |      ★ 9/10     |     ★ 8.45    | anime-movie | movie | -                                                          | 劇場版 シュタインズゲート 負荷領域のデジャヴ, Steins;Gate: The Movie - Load Region of Déjà Vu, Steins;Gate Movie: Fuka Ryouiki no Déjà vu, Steins Gate Movie                                                                                                                                                        | MALAPI      |       -        |      -       | -                   |  1 hr 30 min  |    1     |  false   | [[Steins;Gate Franchise]]              | Drama, Sci-Fi                                            |   11577    | https://cdn.myanimelist.net/images/anime/1611/112806.jpg                                                                                |      -       | After a year in America, Kurisu Makise returns to Akihabara and reunites with Rintarou Okabe. However, their reunion is cut short when Okabe begins to experience recurring flashes of other timelines as the consequences of his time traveling start to manifest. These side effects eventually culminate in Okabe suddenly vanishing from the world, and only the startled Kurisu has any memory of his existence. In the midst of despair, Kurisu is faced with a truly arduous choice that will test both her duty as a scientist and her loyalty as a friend: follow Okabe's advice and stay away from traveling through time to avoid the potential consequences it may have on the world lines, or ignore it to rescue the person that she cherishes most. Regardless of her decision, the path she chooses is one that will affect the past, the present, and the future. [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                                                           | 4/20/2013  | -       |   true   |       0       | -      | Netflix                          | White Fox              | genre/Drama, genre/Sci-Fi                                                                    | https://myanimelist.net/anime/11577/Steins;Gate_Movie_-_Fuka_Ryouiki_no_Déjà_vu                                 |   true  | -                                                  |
| Stolen                                                                     | Stolen                                                                              |   2023  |   Completed   |      ★ 9/10     |     ★ 7.5     |      -      | movie | Abhishek Banerjee, Mia Maelzer, Shubham Vardhan            | -                                                                                                                                                                                                                                                                                              | OMDbAPI     |       -        |      -       | Karan Tejpal        |     92 min    |    1     |  false   | -                                      | Drama, Thriller                                          | tt28494851 | https://m.media-amazon.com/images/M/MV5BOThmMTZjMTUtMTE5OC00OTA0LWIzNjktZTA5NTBmZDc4Mjk0XkEyXkFqcGc@._V1_SX300.jpg                      |      -       | Two urbane brothers witness a baby being kidnapped from an impoverished mother at a railway station in rural India. One guided by moral duty, convinces the other to help the mother and join a perilous investigation to find the baby.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 06/04/2025 | -       |   true   |       0       | -      | -                                | N/A                    | genre/Drama, genre/Thriller                                                                  | https://www.imdb.com/title/tt28494851/                                                                          |  false  | Karan Tejpal, Gaurav Dhingra, Swapnil Salkar       |
| Suzume no Tojimari                                                         | Suzume                                                                              |   2022  |   Completed   |        -        |     ★ 8.24    | anime-movie | movie | -                                                          | Suzume's Door-Locking, すずめの戸締まり, Suzume, Suzume no Tojimari                                                                                                                                                                                                                                    | MALAPI      |       -        |      -       | -                   |   2 hr 1 min  |    1     |  false   | -                                      | Adventure, Supernatural                                  |   50594    | https://cdn.myanimelist.net/images/anime/1598/128450.jpg                                                                                |      -       | On her way to school one day, Suzume Iwato stumbles upon Souta Munakata, a young man searching for abandoned areas. The high school girl directs Souta to a nearby ruin, but out of pure curiosity, she herself decides to head to the same destination. Once there, Suzume discovers an isolated door with a dreamlike universe lying beyond it—a place that she can see and feel, but not enter. A strange stone rests on the ground nearby, but it turns into a cat-like creature and scurries away when Suzume lifts it. Suddenly afraid, she heads back toward her school, not realizing that her act of leaving the door open will have consequences. With the "keystone" released, the evil within the other universe can now freely escape and wreak havoc throughout Japan. Intending to correct her dangerous mistake, Suzume joins Souta—whose true goal is to prevent evil from festering—in finding and locking all open doors before the country is destroyed. [Written by MAL Rewrite]                                                                                                                                                                                                                                                                 | 11/11/2022 | -       |   true   |       0       | -      | -                                | CoMix Wave Films       | genre/Adventure, genre/Supernatural                                                          | https://myanimelist.net/anime/50594/Suzume_no_Tojimari                                                          |   true  | -                                                  |
| Tenet                                                                      | Tenet                                                                               |   2020  |   Completed   |      ★ 7/10     |     ★ 7.3     |      -      | movie | John David Washington, Robert Pattinson, Elizabeth Debicki | -                                                                                                                                                                                                                                                                                              | OMDbAPI     |       -        |      -       | Christopher Nolan   |    150 min    |    1     |  false   | -                                      | Action, Sci-Fi, Thriller                                 | tt6723592  | https://m.media-amazon.com/images/M/MV5BNTIzNDIxMzktMzlkMi00MmUyLWFmMjQtZDgwMjBmOGJmNTI3XkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg  |      -       | Armed with only the word "Tenet," and fighting for the survival of the entire world, CIA operative, The Protagonist, journeys through a twilight world of international espionage on a global mission that unfolds beyond real time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | 09/03/2020 | -       |   true   |       0       | -      | -                                | N/A                    | genre/Action, genre/Sci-Fi, genre/Thriller                                                   | https://www.imdb.com/title/tt6723592/                                                                           |  false  | Christopher Nolan                                  |
| The Call                                                                   | The Call                                                                            |   2020  |   Completed   |      ★ 6/10     |     ★ 7.1     |      -      | movie | Park Shin-hye, Jeon Jong-seo, Kim Sung-ryung               | -                                                                                                                                                                                                                                                                                              | OMDbAPI     |       -        |      -       | Chung-Hyun Lee      |    112 min    |    1     |  false   | -                                      | Crime, Horror, Mystery                                   | tt10530176 | https://m.media-amazon.com/images/M/MV5BYzZlOGEyZTMtYmIxYS00NmIxLWIwNjYtMzY3Yjg2OThjODU2XkEyXkFqcGc@._V1_SX300.jpg                      |      -       | Two people live in different times. Seo-Yeon lives in the present and Young-Sook lives in the past. One phone call connects the two, and their lives are changed irrevocably.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 11/27/2020 | -       |   true   |       0       | -      | -                                | N/A                    | genre/Crime, genre/Horror, genre/Mystery                                                     | https://www.imdb.com/title/tt10530176/                                                                          |   true  | Sergio Casci, Chung-Hyun Lee                       |
| The Dictator                                                               | The Dictator                                                                        |   2012  |   Completed   |      ★ 8/10     |     ★ 6.5     |      -      | movie | Sacha Baron Cohen, Anna Faris, John C. Reilly              | -                                                                                                                                                                                                                                                                                              | OMDbAPI     |       -        |      -       | Larry Charles       |     83 min    |    1     |  false   | -                                      | Comedy                                                   | tt1645170  | https://m.media-amazon.com/images/M/MV5BM2IwMDM3ZmQtNjQ3NS00OTFiLWI5YzEtYWE3YjI5NTk3YzkwXkEyXkFqcGc@._V1_SX300.jpg                      |      -       | The heroic story of a dictator who risked his life to ensure that democracy would never come to the country he so lovingly oppressed.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 05/16/2012 | -       |   true   |       0       | -      | -                                | N/A                    | genre/Comedy                                                                                 | https://www.imdb.com/title/tt1645170/                                                                           |   true  | Sacha Baron Cohen, Alec Berg, David Mandel         |
| The Dreamers                                                               | The Dreamers                                                                        |   2003  |   Completed   |      ★ 5/10     |     ★ 7.1     |      -      | movie | Michael Pitt, Louis Garrel, Eva Green                      | -                                                                                                                                                                                                                                                                                              | OMDbAPI     |       -        |      -       | Bernardo Bertolucci |    115 min    |    1     |  false   | -                                      | Drama, Romance                                           | tt0309987  | https://m.media-amazon.com/images/M/MV5BZmY0Y2YwZTgtZDE2Ny00ZmYzLWFhOTItNDFhZjhjMjAzNWVhXkEyXkFqcGc@._V1_SX300.jpg                      |      -       | In 1968 Paris, film-loving twins Theo and Isabelle befriend American student Matthew during student protests. While their parents travel, they pull him into a month of sensual exploration, until reality intrudes.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | 02/20/2004 | -       |   true   |       0       | -      | -                                | N/A                    | genre/Drama, genre/Romance                                                                   | https://www.imdb.com/title/tt0309987/                                                                           |   true  | Gilbert Adair                                      |
| Kotonoha no Niwa                                                           | The Garden of Words                                                                 |   2013  |   Completed   |      ★ 7/10     |     ★ 7.85    | anime-movie | movie | -                                                          | Koto no Ha no Niwa, Kotonoha no Niwa, The Garden of Kotonoha, The Garden of Words, 言の葉の庭                                                                                                                                                                                                       | MALAPI      |       -        |      -       | -                   |     46 min    |    1     |  false   | -                                      | Award Winning, Drama, Romance                            |   16782    | https://cdn.myanimelist.net/images/anime/1597/112995.jpg                                                                                |      -       | On a rainy morning in Tokyo, Takao Akizuki, an aspiring shoemaker, decides to skip class to sketch designs in a beautiful garden. This is where he meets Yukari Yukino, a beautiful yet mysterious woman, for the very first time. Offering to make her new shoes, Takao continues to meet with Yukari throughout the rainy season, and without even realizing it, the two are able to alleviate the worries hidden in their hearts just by being with each other. However, their personal struggles have not disappeared completely, and as the end of the rainy season approaches, their relationship will be put to the test. [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 5/31/2013  | -       |   true   |       0       | -      | HIDIVE, Netflix                  | CoMix Wave Films       | genre/Award-Winning, genre/Drama, genre/Romance                                              | https://myanimelist.net/anime/16782/Kotonoha_no_Niwa                                                            |   true  | -                                                  |
| Toki wo Kakeru Shoujo                                                      | The Girl Who Leapt Through Time                                                     |   2006  |   Completed   |      ★ 4/10     |     ★ 8.09    | anime-movie | movie | -                                                          | The Little Girl Who Conquered Time, TokiKake, Toki wo Kakeru Shoujo, The Girl Who Leapt Through Time, 時をかける少女, The Girl Who Cut Time, Toki wo Kakeru Shojo, Toki o Kakeru Shojo                                                                                                                | MALAPI      |       -        |      -       | -                   |  1 hr 38 min  |    1     |  false   | -                                      | Award Winning, Drama, Romance, Sci-Fi                    |    2236    | https://cdn.myanimelist.net/images/anime/1/2432.jpg                                                                                     |      -       | Makoto Konno is in her last year of high school, but is having a hard time deciding what to do with her future. In between enduring the pressure of her teachers and killing time with her best friends, Makoto's life suddenly changes when she accidentally discovers that she is capable of literally leaping through time. Toki wo Kakeru Shoujo follows Makoto as she plays around with her newfound power. However, she soon learns the hard way that every choice has a consequence, and time is a lot more complicated than it may seem. [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 7/15/2006  | -       |   true   |       0       | -      | -                                | Madhouse               | genre/Award-Winning, genre/Drama, genre/Romance, genre/Sci-Fi                                | https://myanimelist.net/anime/2236/Toki_wo_Kakeru_Shoujo                                                        |   true  | -                                                  |
| The Lunchbox                                                               | The Lunchbox                                                                        |   2013  |   Completed   |     ★ 10/10     |     ★ 7.8     |      -      | movie | Irrfan Khan, Nimrat Kaur, Nawazuddin Siddiqui              | -                                                                                                                                                                                                                                                                                              | OMDbAPI     |       -        |      -       | Ritesh Batra        |    104 min    |    1     |  false   | -                                      | Drama, Romance                                           | tt2350496  | https://m.media-amazon.com/images/M/MV5BMTUwMzc1NjIzMV5BMl5BanBnXkFtZTgwODUyMTIxMTE@._V1_SX300.jpg                                      |      -       | A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | 09/20/2013 | -       |   true   |       0       | -      | -                                | N/A                    | genre/Drama, genre/Romance                                                                   | https://www.imdb.com/title/tt2350496/                                                                           |   true  | Ritesh Batra, Vasan Bala                           |
| The Pursuit of Happyness                                                   | The Pursuit of Happyness                                                            |   2006  |   Completed   |     ★ 10/10     |      ★ 8      |      -      | movie | Will Smith, Thandiwe Newton, Jaden Smith                   | -                                                                                                                                                                                                                                                                                              | OMDbAPI     |       -        |      -       | Gabriele Muccino    |    117 min    |    1     |  false   | -                                      | Biography, Drama                                         | tt0454921  | https://m.media-amazon.com/images/M/MV5BMTQ5NjQ0NDI3NF5BMl5BanBnXkFtZTcwNDI0MjEzMw@@._V1_SX300.jpg                                      |      -       | A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 12/15/2006 | -       |   true   |       0       | -      | -                                | N/A                    | genre/Biography, genre/Drama                                                                 | https://www.imdb.com/title/tt0454921/                                                                           |   true  | Steve Conrad                                       |
| The Shawshank Redemption                                                   | The Shawshank Redemption                                                            |   1994  |   Completed   |      ★ 9/10     |     ★ 9.3     |      -      | movie | Tim Robbins, Morgan Freeman, Bob Gunton                    | -                                                                                                                                                                                                                                                                                              | OMDbAPI     |       -        |      -       | Frank Darabont      |    142 min    |    1     |  false   | -                                      | Drama                                                    | tt0111161  | https://m.media-amazon.com/images/M/MV5BMDAyY2FhYjctNDc5OS00MDNlLThiMGUtY2UxYWVkNGY2ZjljXkEyXkFqcGc@._V1_QL75_UX380_CR0,4,380,562_.jpg  |      -       | A wrongfully convicted banker forms a close friendship with a hardened convict over a quarter century while retaining his humanity through simple acts of compassion.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 10/14/1994 | -       |   true   |       0       | -      | -                                | N/A                    | genre/Drama                                                                                  | https://www.imdb.com/title/tt0111161/                                                                           |   true  | Stephen King, Frank Darabont                       |
| The Truman Show                                                            | The Truman Show                                                                     |   1998  |   Completed   |      ★ 9/10     |     ★ 8.2     |      -      | movie | Jim Carrey, Ed Harris, Laura Linney                        | -                                                                                                                                                                                                                                                                                              | OMDbAPI     |       -        |      -       | Peter Weir          |    103 min    |    1     |  false   | -                                      | Comedy, Drama                                            | tt0120382  | https://m.media-amazon.com/images/M/MV5BNzA3ZjZlNzYtMTdjMy00NjMzLTk5ZGYtMTkyYzNiOGM1YmM3XkEyXkFqcGc@._V1_SX300.jpg                      |      -       | An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 06/05/1998 | -       |   true   |       0       | -      | -                                | N/A                    | genre/Comedy, genre/Drama                                                                    | https://www.imdb.com/title/tt0120382/                                                                           |   true  | Andrew Niccol                                      |
| The Wolf of Wall Street                                                    | The Wolf of Wall Street                                                             |   2013  |   Completed   |      ★ 9/10     |     ★ 8.2     |      -      | movie | Leonardo DiCaprio, Jonah Hill, Margot Robbie               | -                                                                                                                                                                                                                                                                                              | OMDbAPI     |       -        |      -       | Martin Scorsese     |    180 min    |    1     |  false   | -                                      | Biography, Comedy, Crime                                 | tt0993846  | https://m.media-amazon.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_QL75_UX380_CR0,0,380,562_.jpg                  |      -       | Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 12/25/2013 | -       |   true   |       0       | -      | -                                | N/A                    | genre/Biography, genre/Comedy, genre/Crime                                                   | https://www.imdb.com/title/tt0993846/                                                                           |   true  | Terence Winter, Jordan Belfort                     |
